section,benchmark,parameter_set,mean_ns,low_ns,high_ns
keygen_sign_verify,keygen_from_seed,ML-DSA-44,198291.236,197377.993,199259.931
keygen_sign_verify,keygen_from_seed,ML-DSA-65,365227.677,362869.408,367986.113
keygen_sign_verify,keygen_from_seed,ML-DSA-87,538539.693,535690.397,541907.949
keygen_sign_verify,deterministic_sign,ML-DSA-44,239879.285,238565.528,241543.059
keygen_sign_verify,deterministic_sign,ML-DSA-65,459053.673,456134.236,463008.043
keygen_sign_verify,deterministic_sign,ML-DSA-87,1546377.656,1522394.941,1577997.191
keygen_sign_verify,deterministic_sign_with_report,ML-DSA-44,430437.291,428895.931,431964.861
keygen_sign_verify,deterministic_sign_with_report,ML-DSA-65,545525.918,542475.653,549370.173
keygen_sign_verify,deterministic_sign_with_report,ML-DSA-87,719500.798,716467.772,722493.801
keygen_sign_verify,verify,ML-DSA-44,165614.362,162927.719,169424.016
keygen_sign_verify,verify,ML-DSA-65,274494.866,270134.239,280893.112
keygen_sign_verify,verify,ML-DSA-87,454166.098,452988.360,455367.516
ntt,forward,all,1431.836,1429.957,1433.813
ntt,inverse,all,1402.792,1400.092,1405.645
ntt,pointwise_mul_inverse,all,1510.842,1507.919,1514.358
sampling,ExpandA,ML-DSA-44,91034.466,90772.436,91289.196
sampling,ExpandA,ML-DSA-65,158738.510,158073.266,159382.344
sampling,ExpandA,ML-DSA-87,295373.549,294476.925,296230.317
sampling,ExpandS,ML-DSA-44,29339.087,29119.887,29636.698
sampling,ExpandS,ML-DSA-65,75628.003,75376.975,75921.334
sampling,ExpandS,ML-DSA-87,53646.779,53477.030,53837.066
sampling,ExpandMask,ML-DSA-44,16674.097,16631.316,16715.737
sampling,ExpandMask,ML-DSA-65,22582.555,22520.683,22646.676
sampling,ExpandMask,ML-DSA-87,31792.171,31586.527,32119.912
sampling,SampleInBall,ML-DSA-44,1375.468,1372.617,1378.340
sampling,SampleInBall,ML-DSA-65,1816.356,1811.868,1821.041
sampling,SampleInBall,ML-DSA-87,2123.612,2116.249,2131.193
raw_encoding,pk_encode,ML-DSA-44,20718.102,20656.328,20786.831
raw_encoding,pk_encode,ML-DSA-65,30520.427,30323.994,30769.009
raw_encoding,pk_encode,ML-DSA-87,39230.385,39043.090,39436.366
raw_encoding,pk_decode,ML-DSA-44,7569.204,7549.646,7589.170
raw_encoding,pk_decode,ML-DSA-65,11264.596,11224.354,11305.560
raw_encoding,pk_decode,ML-DSA-87,14938.334,14879.923,15002.878
raw_encoding,sk_encode,ML-DSA-44,39840.899,39730.743,39948.784
raw_encoding,sk_encode,ML-DSA-65,61850.005,61591.328,62165.192
raw_encoding,sk_encode,ML-DSA-87,74762.573,74469.092,75059.380
raw_encoding,sk_decode,ML-DSA-44,15588.830,15446.676,15782.799
raw_encoding,sk_decode,ML-DSA-65,23422.803,23368.610,23480.830
raw_encoding,sk_decode,ML-DSA-87,29648.720,29477.556,29939.600
raw_encoding,sig_encode,ML-DSA-44,38006.320,37879.338,38135.930
raw_encoding,sig_encode,ML-DSA-65,50773.808,50578.713,50982.862
raw_encoding,sig_encode,ML-DSA-87,69199.429,68932.446,69461.262
raw_encoding,sig_decode,ML-DSA-44,13801.860,13711.939,13918.636
raw_encoding,sig_decode,ML-DSA-65,18580.107,18535.709,18623.805
raw_encoding,sig_decode,ML-DSA-87,27049.317,26392.933,27857.151
raw_encoding,w1_encode,ML-DSA-44,4902.090,4829.256,4979.809
raw_encoding,w1_encode,ML-DSA-65,4844.894,4823.575,4867.719
raw_encoding,w1_encode,ML-DSA-87,6433.627,6387.333,6485.822
pkix_der,spki_encode,ML-DSA-44,104.731,104.318,105.152
pkix_der,spki_encode,ML-DSA-65,115.747,113.424,119.912
pkix_der,spki_encode,ML-DSA-87,125.173,124.408,126.270
pkix_der,spki_decode,ML-DSA-44,146.838,146.528,147.146
pkix_der,spki_decode,ML-DSA-65,150.006,149.672,150.344
pkix_der,spki_decode,ML-DSA-87,154.960,154.307,155.632
pkix_der,one_asymmetric_key_encode,ML-DSA-44,337.435,335.841,339.052
pkix_der,one_asymmetric_key_encode,ML-DSA-65,388.125,385.519,391.286
pkix_der,one_asymmetric_key_encode,ML-DSA-87,461.931,451.886,475.983
pkix_der,one_asymmetric_key_decode,ML-DSA-44,391315.995,389251.878,393660.027
pkix_der,one_asymmetric_key_decode,ML-DSA-65,717885.384,714848.419,721453.993
pkix_der,one_asymmetric_key_decode,ML-DSA-87,1066809.289,1056688.960,1080490.956
